State Name,year,state_abbrev,avg_aqi,month_start
Alabama,2030,AL,22.816666666666666,2030-07-01
Alaska,2030,AK,14.755555555555555,2030-07-01
Arizona,2030,AZ,3.0,2030-07-01
Arkansas,2030,AR,6.0,2030-07-01
California,2030,CA,21.75,2030-07-01
Colorado,2030,CO,2.0,2030-07-01
Connecticut,2030,CT,16.044444444444444,2030-07-01
Delaware,2030,DE,41.32142857142858,2030-07-01
Florida,2030,FL,12.166666666666666,2030-07-01
Georgia,2030,GA,26.95,2030-07-01
Hawaii,2030,HI,4.816666666666666,2030-07-01
Idaho,2030,ID,16.35483870967742,2030-07-01
Illinois,2030,IL,2.0,2030-07-01
Indiana,2030,IN,23.516883116883115,2030-07-01
Iowa,2030,IA,2.0,2030-07-01
Kansas,2030,KS,46.39558339998223,2030-07-01
Kentucky,2030,KY,32.29166666666667,2030-07-01
Louisiana,2030,LA,3.0,2030-07-01
Maine,2030,ME,2.0,2030-07-01
Maryland,2030,MD,1.0,2030-07-01
Massachusetts,2030,MA,5.0,2030-07-01
Michigan,2030,MI,25.15615763546798,2030-07-01
Minnesota,2030,MN,16.322222222222223,2030-07-01
Mississippi,2030,MS,5.0,2030-07-01
Missouri,2030,MO,48.73312647581133,2030-07-01
Montana,2030,MT,2.0,2030-07-01
Nebraska,2030,NE,5.0,2030-07-01
Nevada,2030,NV,5.0,2030-07-01
New Hampshire,2030,NH,11.025862068965518,2030-07-01
New Jersey,2030,NJ,13.333333333333332,2030-07-01
New Mexico,2030,NM,56.27136211952675,2030-07-01
New York,2030,NY,2.142857142857143,2030-07-01
North Carolina,2030,NC,3.0,2030-07-01
North Dakota,2030,ND,2.0,2030-07-01
Ohio,2030,OH,3.6666666666666665,2030-07-01
Oklahoma,2030,OK,17.074074074074073,2030-07-01
Oregon,2030,OR,2.0,2030-07-01
Pennsylvania,2030,PA,30.73950223767668,2030-07-01
Rhode Island,2030,RI,16.5,2030-07-01
South Carolina,2030,SC,44.449897764110595,2030-07-01
South Dakota,2030,SD,3.0,2030-07-01
Tennessee,2030,TN,42.66373411534702,2030-07-01
Texas,2030,TX,2.5,2030-07-01
Utah,2030,UT,1.3333333333333333,2030-07-01
Vermont,2030,VT,0.0,2030-07-01
Virginia,2030,VA,2.4285714285714284,2030-07-01
Washington,2030,WA,21.372265480163144,2030-07-01
West Virginia,2030,WV,22.166666666666668,2030-07-01
Wisconsin,2030,WI,14.911111111111111,2030-07-01
Wyoming,2030,WY,13.25810405643739,2030-07-01
